applicant_id,income,loan_amount,loan_term_months,interest_rate,credit_score,employment_length_years,existing_debt,monthly_payment,dependents,home_ownership,loan_purpose,default
APP_000001,86959,16016,36,13.55,669,7.9,23555.0,543.89,0,MORTGAGE,debt_consolidation,1
APP_000002,48074,6916,36,13.73,640,1.2,3654.0,235.47,1,RENT,debt_consolidation,0
APP_000003,68675,9043,36,16.83,573,5.4,1552.0,321.64,1,RENT,debt_consolidation,0
APP_000004,49340,5634,36,12.22,679,14.4,37913.0,187.72,1,RENT,debt_consolidation,0
APP_000005,99325,22090,36,10.88,692,0.6,9641.0,721.94,0,RENT,debt_consolidation,0
APP_000006,91141,16569,36,10.81,746,7.8,8056.0,540.96,0,MORTGAGE,debt_consolidation,0
APP_000007,103454,35313,60,10.82,781,13.1,,764.62,0,MORTGAGE,home_improvement,0
APP_000008,30323,7898,60,10.62,758,4.3,17711.0,170.23,0,OWN,debt_consolidation,0
APP_000009,49445,11307,36,10.18,718,13.4,,365.8,2,MORTGAGE,major_purchase,0
APP_000010,18000,12150,36,11.28,705,1.5,1789.0,399.39,0,RENT,medical,0
APP_000011,23032,15546,36,11.71,678,2.0,1387.0,514.2,1,RENT,credit_card,0
APP_000012,100912,19564,36,17.62,593,8.6,2100.0,703.56,2,RENT,debt_consolidation,0
APP_000013,69899,18932,36,12.18,642,6.8,7519.0,630.44,1,RENT,debt_consolidation,0
APP_000014,54382,15818,36,11.45,721,6.5,4953.0,521.24,1,MORTGAGE,credit_card,0
APP_000015,75945,14967,36,9.61,705,6.2,19670.0,480.21,0,RENT,major_purchase,0
APP_000016,43776,11390,36,14.02,595,8.2,2967.0,389.39,2,MORTGAGE,credit_card,0
APP_000017,77047,7144,36,10.95,742,9.5,417.0,233.72,1,MORTGAGE,credit_card,0
APP_000018,61804,9994,36,11.05,735,20.4,2525.0,327.43,2,OWN,debt_consolidation,0
APP_000019,40695,23554,60,14.84,691,5.7,10853.0,558.37,0,OTHER,credit_card,0
APP_000020,78233,24837,36,12.07,699,14.7,37990.0,825.77,1,MORTGAGE,small_business,0
APP_000021,50668,7476,36,11.34,686,3.8,8233.0,245.96,0,MORTGAGE,credit_card,0
APP_000022,246217,8689,36,8.14,818,,31308.0,272.84,4,MORTGAGE,credit_card,0
APP_000023,87355,24698,36,11.23,744,3.2,6311.0,811.27,0,RENT,debt_consolidation,0
APP_000024,31896,17827,36,8.05,818,1.7,4510.0,559.04,2,RENT,debt_consolidation,0
APP_000025,57589,13877,36,18.06,586,3.1,24596.0,502.1,1,MORTGAGE,debt_consolidation,0
APP_000026,59198,39958,36,9.47,684,5.3,36962.0,1279.41,1,OWN,debt_consolidation,0
APP_000027,77230,8915,60,15.17,633,0.4,20272.0,212.88,2,RENT,debt_consolidation,0
APP_000028,46801,30652,36,8.97,745,1.2,4290.0,974.3,2,MORTGAGE,education,0
APP_000029,104190,11435,36,10.84,741,0.7,249.0,373.5,1,OWN,small_business,0
APP_000030,189429,20043,60,11.94,759,,3985.0,445.24,0,RENT,home_improvement,0
APP_000031,113132,10080,36,12.61,668,2.6,42938.0,337.74,0,RENT,home_improvement,0
APP_000032,124853,16351,36,14.98,644,17.7,15163.0,566.65,2,OWN,debt_consolidation,0
APP_000033,65500,18402,60,14.83,658,0.3,6769.0,436.14,0,RENT,credit_card,0
APP_000034,68755,34311,36,10.55,753,29.7,9168.0,1116.0,1,RENT,medical,0
APP_000035,220662,3853,36,14.52,619,1.9,81600.0,132.66,0,RENT,debt_consolidation,0
APP_000036,99516,28756,36,7.54,790,3.3,95549.0,895.02,2,OWN,debt_consolidation,1
APP_000037,62131,35794,60,11.1,772,3.2,39587.0,780.03,0,RENT,small_business,0
APP_000038,31171,21040,36,10.69,720,6.7,5035.0,685.74,0,MORTGAGE,debt_consolidation,0
APP_000039,57703,10078,60,11.02,752,0.9,185.0,219.22,2,RENT,credit_card,0
APP_000040,107724,4415,36,12.27,669,2.6,14565.0,147.21,2,MORTGAGE,debt_consolidation,0
APP_000041,32290,6530,36,10.79,730,0.5,3013.0,213.14,0,RENT,debt_consolidation,0
APP_000042,51757,12461,36,11.97,644,0.3,2631.0,413.7,0,RENT,debt_consolidation,0
APP_000043,45033,8277,60,14.09,696,12.4,2327.0,192.98,0,OWN,debt_consolidation,0
APP_000044,46883,31646,60,21.07,515,8.3,1169.0,857.38,0,RENT,home_improvement,1
APP_000045,43652,15395,36,16.79,573,0.1,10915.0,547.27,0,RENT,debt_consolidation,0
APP_000046,244233,24392,36,11.58,756,8.2,23652.0,805.28,0,MORTGAGE,debt_consolidation,0
APP_000047,46265,2625,36,14.07,643,1.2,41106.0,89.81,0,RENT,major_purchase,1
APP_000048,75397,4513,36,11.9,700,1.8,24341.0,149.68,1,RENT,major_purchase,0
APP_000049,27034,18247,36,9.91,683,0.7,316.0,588.01,0,MORTGAGE,credit_card,0
APP_000050,47520,19440,36,9.71,737,6.9,18562.0,624.63,1,MORTGAGE,credit_card,0
APP_000051,69398,10861,36,11.99,668,5.1,25727.0,360.69,0,MORTGAGE,small_business,0
APP_000052,57033,13520,36,11.48,751,10.2,3315.0,445.71,0,MORTGAGE,credit_card,0
APP_000053,75326,18603,36,11.45,737,0.7,12634.0,613.01,1,OWN,debt_consolidation,0
APP_000054,36305,24505,60,15.51,618,8.2,936.0,589.55,1,RENT,home_improvement,0
APP_000055,51825,4624,36,11.31,708,1.6,4836.0,152.06,2,MORTGAGE,credit_card,0
APP_000056,40539,14344,36,18.95,505,17.7,10638.0,525.43,1,RENT,credit_card,0
APP_000057,186299,65000,36,9.08,780,3.3,20868.0,2069.4,3,MORTGAGE,major_purchase,0
APP_000058,105739,11285,36,16.27,505,15.1,3531.0,398.25,0,RENT,home_improvement,1
APP_000059,58278,7947,36,9.93,732,5.2,73953.0,256.17,0,MORTGAGE,credit_card,1
APP_000060,43027,8405,36,10.33,730,13.7,14142.0,272.51,0,RENT,debt_consolidation,0
APP_000061,131314,22961,36,15.82,524,1.0,15180.0,805.2,2,RENT,medical,1
APP_000062,63002,9500,36,12.47,682,1.5,14660.0,317.67,1,RENT,debt_consolidation,0
APP_000063,97834,4512,36,12.91,713,10.6,48037.0,151.83,1,RENT,debt_consolidation,0
APP_000064,136444,15323,36,16.45,548,1.9,43293.0,542.12,0,MORTGAGE,credit_card,1
APP_000065,70461,8911,36,11.06,691,3.3,27924.0,291.99,0,RENT,credit_card,0
APP_000066,27003,15778,36,11.69,721,4.8,5451.0,521.72,2,MORTGAGE,debt_consolidation,0
APP_000067,24041,5258,36,16.01,584,4.4,2608.0,184.88,0,RENT,home_improvement,0
APP_000068,90733,9189,36,16.72,548,3.9,13691.0,326.33,3,MORTGAGE,home_improvement,0
APP_000069,64909,6587,60,10.45,812,7.0,12740.0,141.42,0,MORTGAGE,small_business,0
APP_000070,32027,21618,36,13.1,663,4.7,2023.0,729.44,2,MORTGAGE,small_business,0
APP_000071,83808,17859,36,11.17,695,1.2,65315.0,586.12,3,MORTGAGE,debt_consolidation,0
APP_000072,51225,15434,36,9.07,746,,4680.0,491.3,1,RENT,debt_consolidation,0
APP_000073,146654,21241,36,11.52,694,2.3,51731.0,700.65,3,MORTGAGE,credit_card,0
APP_000074,49990,33743,36,17.87,493,5.9,3000.0,1217.69,4,MORTGAGE,home_improvement,1
APP_000075,38090,6661,36,14.8,622,0.3,25097.0,230.25,4,RENT,debt_consolidation,0
APP_000076,235707,16122,36,16.65,630,1.1,13598.0,571.99,0,OTHER,medical,0
APP_000077,46603,10480,60,9.43,769,0.4,14556.0,219.74,3,OWN,major_purchase,0
APP_000078,44897,8970,60,15.34,627,4.6,21690.0,215.0,1,MORTGAGE,debt_consolidation,0
APP_000079,95053,7734,60,8.69,830,0.5,5200.0,159.38,0,RENT,debt_consolidation,0
APP_000080,18000,12150,36,13.83,614,5.4,6322.0,414.26,0,MORTGAGE,home_improvement,0
APP_000081,103908,10501,36,9.62,718,7.2,31104.0,336.97,1,MORTGAGE,home_improvement,0
APP_000082,58445,20324,36,14.55,680,2.0,19459.0,700.07,4,MORTGAGE,credit_card,1
APP_000083,62792,11835,36,10.76,700,6.0,17013.0,386.12,0,OWN,medical,0
APP_000084,50814,34299,36,11.56,689,12.3,12853.0,1132.02,4,OWN,home_improvement,0
APP_000085,29839,20141,36,19.3,515,1.1,2095.0,741.35,1,MORTGAGE,debt_consolidation,0
APP_000086,62129,11420,36,10.73,727,6.1,3275.0,372.42,0,RENT,education,0
APP_000087,63247,18014,60,11.77,763,,13692.0,398.62,2,RENT,home_improvement,0
APP_000088,131539,13015,36,8.97,716,3.9,1920.0,413.69,0,RENT,home_improvement,0
APP_000089,51771,25985,36,15.61,538,,22403.0,908.56,0,RENT,credit_card,0
APP_000090,57249,11572,60,15.07,649,25.9,4977.0,275.72,1,RENT,credit_card,0
APP_000091,38143,15979,36,11.76,658,5.0,10286.0,528.9,2,MORTGAGE,debt_consolidation,1
APP_000092,179259,31454,60,13.28,706,12.3,23743.0,720.19,2,MORTGAGE,debt_consolidation,0
APP_000093,46245,19973,36,14.6,643,12.3,7015.0,688.46,4,RENT,debt_consolidation,0
APP_000094,35585,17317,36,11.26,722,6.8,10627.0,569.07,0,RENT,debt_consolidation,0
APP_000095,74865,4621,60,10.53,758,3.5,14779.0,99.39,1,MORTGAGE,major_purchase,0
APP_000096,141102,13139,36,11.33,738,0.8,8815.0,432.21,3,MORTGAGE,debt_consolidation,0
APP_000097,124470,27447,36,15.69,549,1.1,3840.0,960.76,4,RENT,debt_consolidation,0
APP_000098,20903,10650,60,12.87,699,10.6,171.0,241.61,0,MORTGAGE,credit_card,0
APP_000099,81639,13786,36,10.0,712,5.3,49542.0,444.84,0,MORTGAGE,debt_consolidation,1
APP_000100,59605,24236,60,13.21,713,4.2,7952.0,554.05,0,RENT,education,0
APP_000101,121722,26836,36,14.48,602,1.4,5221.0,923.46,4,MORTGAGE,debt_consolidation,0
APP_000102,65056,27408,60,10.12,830,5.8,3476.0,583.96,1,MORTGAGE,debt_consolidation,0
APP_000103,78155,16670,60,17.67,623,35.0,23059.0,420.32,4,RENT,debt_consolidation,0
APP_000104,117689,11938,36,10.5,722,8.6,10160.0,388.01,0,MORTGAGE,small_business,0
APP_000105,38358,25891,36,19.46,518,1.6,5254.0,955.09,0,RENT,debt_consolidation,1
APP_000106,51542,32852,36,12.7,678,2.5,,1102.17,0,RENT,credit_card,0
APP_000107,100449,13070,36,10.07,701,1.7,6558.0,422.16,0,OWN,medical,0
APP_000108,23117,15603,36,9.77,709,5.7,1018.0,501.78,0,MORTGAGE,debt_consolidation,0
APP_000109,27552,18156,36,10.96,713,19.8,5578.0,594.06,2,MORTGAGE,credit_card,0
APP_000110,87098,8375,36,16.45,582,3.2,33138.0,296.3,3,MORTGAGE,debt_consolidation,0
APP_000111,41796,28212,36,8.3,840,5.3,7275.0,887.97,2,RENT,small_business,0
APP_000112,78661,19338,60,15.94,679,0.9,5545.0,469.65,0,MORTGAGE,debt_consolidation,0
APP_000113,48053,8917,36,15.49,603,1.5,8209.0,311.25,0,RENT,credit_card,0
APP_000114,34719,8448,60,17.14,587,6.6,6310.0,210.59,1,OTHER,credit_card,0
APP_000115,72631,9442,36,14.01,573,0.6,2642.0,322.75,2,MORTGAGE,debt_consolidation,0
APP_000116,68964,21168,60,11.88,772,5.9,558.0,469.59,2,RENT,debt_consolidation,0
APP_000117,24102,15730,60,12.62,718,3.0,10109.0,354.85,1,MORTGAGE,credit_card,0
APP_000118,51988,11923,36,8.0,767,12.6,2179.0,373.62,2,MORTGAGE,small_business,0
APP_000119,120239,8753,36,11.36,715,0.9,18471.0,288.06,3,MORTGAGE,credit_card,0
APP_000120,87488,6085,36,12.53,684,3.4,18602.0,203.65,1,RENT,debt_consolidation,0
APP_000121,58841,9261,60,9.57,791,0.4,1675.0,194.82,0,OTHER,home_improvement,0
APP_000122,66744,2540,36,15.0,625,34.3,2056.0,88.05,1,MORTGAGE,debt_consolidation,0
APP_000123,34767,10357,36,16.69,544,10.5,2301.0,367.66,2,MORTGAGE,debt_consolidation,0
APP_000124,38301,10015,36,10.99,677,4.8,11265.0,327.83,2,MORTGAGE,debt_consolidation,0
APP_000125,148619,4724,36,12.02,664,13.4,60097.0,156.95,2,OWN,debt_consolidation,1
APP_000126,143747,18015,36,7.95,771,,22702.0,564.11,1,MORTGAGE,debt_consolidation,0
APP_000127,54126,7061,36,9.9,693,0.4,17743.0,227.51,3,RENT,home_improvement,0
APP_000128,77296,25525,60,14.93,626,8.7,16663.0,606.3,0,RENT,debt_consolidation,0
APP_000129,137380,34411,60,14.67,721,6.2,41666.0,812.69,0,MORTGAGE,medical,0
APP_000130,89881,11570,36,12.18,664,1.5,43101.0,385.29,0,RENT,debt_consolidation,0
APP_000131,60360,6800,60,13.82,701,8.4,10457.0,157.59,2,MORTGAGE,home_improvement,0
APP_000132,62824,16329,60,16.24,673,7.8,12334.0,399.17,0,MORTGAGE,credit_card,0
APP_000133,100141,22890,36,9.86,708,6.1,105855.0,737.09,0,MORTGAGE,credit_card,1
APP_000134,76371,12245,60,17.68,574,7.9,24047.0,308.81,0,MORTGAGE,debt_consolidation,1
APP_000135,61912,7854,60,10.35,711,2.4,17439.0,168.23,0,RENT,major_purchase,0
APP_000136,166808,9332,36,17.01,623,0.0,37730.0,332.76,0,MORTGAGE,small_business,1
APP_000137,205628,27593,36,8.02,770,6.8,55638.0,864.92,0,MORTGAGE,small_business,0
APP_000138,52183,6865,60,18.52,613,3.4,11607.0,176.27,0,RENT,credit_card,0
APP_000139,53921,9480,36,10.04,761,5.1,8659.0,306.07,0,MORTGAGE,debt_consolidation,0
APP_000140,116789,13122,36,14.6,665,11.1,14753.0,452.31,2,RENT,credit_card,0
APP_000141,38211,7082,36,10.11,702,8.4,2384.0,228.88,3,MORTGAGE,debt_consolidation,0
APP_000142,55988,2763,36,8.92,797,,5255.0,87.76,1,RENT,debt_consolidation,0
APP_000143,68654,6491,60,13.3,718,16.6,12584.0,148.69,0,RENT,debt_consolidation,0
