transaction_id,customer_id,transaction_amount,transaction_time,customer_age,account_age_days,transaction_count_24h,average_transaction_amount,merchant_category,device_type,location,previous_fraud_count,failed_attempts,is_fraud
TXN_0000001,CUST_000988,231.32,2024-04-28 16:31:44,55.0,1657,1,96.61,Grocery,Tablet,Domestic Suburban,0,0,0
TXN_0000002,CUST_011930,26.24,2024-05-23 08:07:49,35.0,425,1,26.41,Entertainment,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000003,CUST_005426,50.59,2024-05-13 14:14:44,67.0,295,2,26.61,Gas & Fuel,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000004,CUST_003699,21.23,2024-04-20 13:22:53,35.0,758,1,33.65,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000005,CUST_001764,117.5,2024-03-05 17:39:49,32.0,1071,3,89.03,Dining,Mobile iOS,Domestic Urban,0,0,0
TXN_0000006,CUST_000285,129.26,2024-05-05 09:36:15,50.0,68,1,101.61,Gas & Fuel,Mobile Android,Domestic Rural,0,0,0
TXN_0000007,CUST_004182,22.75,2024-04-29 16:16:35,59.0,73,1,28.39,Dining,Mobile iOS,Domestic Rural,0,0,0
TXN_0000008,CUST_011484,40.91,2024-04-24 12:06:41,41.0,1339,1,258.92,Dining,Mobile Android,Domestic Rural,0,0,0
TXN_0000009,CUST_005574,1652.01,2024-03-18 14:36:03,23.0,912,4,1766.45,Grocery,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000010,CUST_003869,33.57,2024-03-06 14:43:19,29.0,139,1,47.76,Dining,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000011,CUST_007533,181.7,2024-05-16 11:15:49,32.0,510,2,115.83,Dining,Mobile Android,Domestic Suburban,0,0,0
TXN_0000012,CUST_008908,134.46,2024-05-16 16:57:53,37.0,777,1,112.29,Travel,Desktop Chrome,Domestic Rural,0,0,0
TXN_0000013,CUST_004863,17.74,2024-04-13 16:04:54,25.0,260,1,26.73,Dining,Mobile Android,Domestic Urban,0,0,0
TXN_0000014,CUST_000481,80.35,2024-03-16 14:41:56,42.0,432,1,39.6,Gas & Fuel,Mobile iOS,Domestic Urban,0,0,0
TXN_0000015,CUST_010426,205.45,2024-03-08 14:12:04,28.0,2247,4,106.73,Dining,Mobile Android,Domestic Suburban,0,0,0
TXN_0000016,CUST_000829,41.9,2024-04-28 10:14:27,27.0,1265,3,39.93,Dining,Desktop Safari,Domestic Urban,0,0,0
TXN_0000017,CUST_011200,54.01,2024-04-09 14:42:20,27.0,1619,2,74.93,Travel,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000018,CUST_003731,56.79,2024-03-10 21:24:12,64.0,97,1,67.05,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000019,CUST_007916,83.17,2024-03-23 06:21:03,55.0,505,2,69.42,Travel,Mobile Android,Domestic Urban,0,0,0
TXN_0000020,CUST_005711,27.1,2024-05-11 18:19:55,53.0,319,1,27.48,Electronics,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000021,CUST_000473,98.48,2024-04-17 19:02:42,50.0,892,3,104.53,Grocery,Mobile Android,Domestic Urban,0,0,0
