date,store_id,product_id,product_category,price,discount,promotion,units_sold,inventory,supplier_lead_time,holiday,weekday,temperature,rainfall,stockout_risk
2023-01-01,STORE_01,P001,Electronics,199.85,0.0,0,34,71,2,0,Sunday,5.4,0.0,0
2023-01-02,STORE_01,P001,Electronics,199.85,0.0,0,24,47,2,0,Monday,4.2,0.0,0
2023-01-03,STORE_01,P001,Electronics,199.85,0.0,0,13,231,2,0,Tuesday,5.4,18.11,0
2023-01-04,STORE_01,P001,Electronics,199.85,0.0,0,19,212,2,0,Wednesday,8.0,0.0,0
2023-01-05,STORE_01,P001,Electronics,199.85,0.0,0,16,196,2,0,Thursday,5.7,,0
2023-01-06,STORE_01,P001,Electronics,199.85,0.0,0,10,186,2,0,Friday,-1.1,0.0,0
2023-01-07,STORE_01,P001,Electronics,199.85,0.0,0,30,156,2,0,Saturday,6.0,0.0,0
2023-01-08,STORE_01,P001,Electronics,199.85,0.0,0,23,133,2,0,Sunday,5.0,0.0,0
2023-01-09,STORE_01,P001,Electronics,199.85,0.0,0,15,118,2,0,Monday,5.0,0.0,0
2023-01-10,STORE_01,P001,Electronics,139.9,0.3,1,29,89,2,0,Tuesday,3.9,0.0,0
2023-01-11,STORE_01,P001,Electronics,199.85,0.0,0,26,63,2,0,Wednesday,-0.1,26.92,0
2023-01-12,STORE_01,P001,Electronics,199.85,0.0,0,24,236,2,0,Thursday,5.4,4.15,0
2023-01-13,STORE_01,P001,Electronics,199.85,0.0,0,15,221,2,0,Friday,4.6,0.0,0
2023-01-14,STORE_01,P001,Electronics,199.85,0.0,0,23,198,2,0,Saturday,-0.7,0.0,0
2023-01-15,STORE_01,P001,Electronics,199.85,0.0,0,25,173,2,0,Sunday,6.0,0.0,0
2023-01-16,STORE_01,P001,Electronics,199.85,0.0,0,21,152,2,0,Monday,5.3,0.0,0
2023-01-17,STORE_01,P001,Electronics,199.85,0.0,0,17,135,2,0,Tuesday,7.0,0.0,0
2023-01-18,STORE_01,P001,Electronics,199.85,0.0,0,16,119,2,0,Wednesday,4.1,0.0,0
2023-01-19,STORE_01,P001,Electronics,199.85,0.0,0,17,102,2,0,Thursday,7.1,0.0,0
2023-01-20,STORE_01,P001,Electronics,199.85,0.0,0,19,83,2,0,Friday,2.0,,0
2023-01-21,STORE_01,P001,Electronics,199.85,0.0,0,25,58,2,0,Saturday,1.8,0.0,0
2023-01-22,STORE_01,P001,Electronics,199.85,0.0,0,13,242,2,0,Sunday,6.9,15.75,0
2023-01-23,STORE_01,P001,Electronics,199.85,0.0,0,22,220,2,0,Monday,9.1,0.0,0
2023-01-24,STORE_01,P001,Electronics,199.85,0.0,0,19,201,2,0,Tuesday,5.1,0.0,0
2023-01-25,STORE_01,P001,Electronics,199.85,0.0,0,19,182,2,0,Wednesday,10.9,0.0,0
2023-01-26,STORE_01,P001,Electronics,199.85,0.0,0,22,160,2,0,Thursday,3.6,0.0,0
2023-01-27,STORE_01,P001,Electronics,199.85,0.0,0,24,136,2,0,Friday,3.7,,0
2023-01-28,STORE_01,P001,Electronics,199.85,0.0,0,26,110,2,0,Saturday,5.0,17.42,0
2023-01-29,STORE_01,P001,Electronics,199.85,0.0,0,19,91,2,0,Sunday,9.4,0.0,0
2023-01-30,STORE_01,P001,Electronics,199.85,,0,16,75,2,0,Monday,7.6,0.0,0
2023-01-31,STORE_01,P001,Electronics,199.85,0.0,0,17,58,2,0,Tuesday,9.8,0.0,0
2023-02-01,STORE_01,P001,Electronics,199.85,0.0,0,19,236,2,0,Wednesday,2.3,0.32,0
2023-02-02,STORE_01,P001,Electronics,199.85,0.0,0,22,214,2,0,Thursday,7.8,6.6,0
2023-02-03,STORE_01,P001,Electronics,199.85,0.0,0,17,197,2,0,Friday,1.8,0.0,0
2023-02-04,STORE_01,P001,Electronics,199.85,0.0,0,25,172,2,0,Saturday,7.7,0.0,0
2023-02-05,STORE_01,P001,Electronics,199.85,0.0,0,30,142,2,0,Sunday,6.2,0.0,0
2023-02-06,STORE_01,P001,Electronics,199.85,0.0,0,25,117,2,0,Monday,12.2,9.32,0
2023-02-07,STORE_01,P001,Electronics,199.85,0.0,0,16,101,2,0,Tuesday,8.1,1.27,0
2023-02-08,STORE_01,P001,Electronics,199.85,0.0,0,19,82,2,0,Wednesday,7.5,0.0,0
2023-02-09,STORE_01,P001,Electronics,199.85,0.0,0,18,64,2,0,Thursday,9.6,0.0,0
2023-02-10,STORE_01,P001,Electronics,199.85,0.0,0,19,242,2,0,Friday,9.8,0.0,0
2023-02-11,STORE_01,P001,Electronics,199.85,0.0,0,34,208,2,0,Saturday,10.8,6.5,0
2023-02-12,STORE_01,P001,Electronics,199.85,0.0,0,38,170,2,0,Sunday,5.4,9.55,0
2023-02-13,STORE_01,P001,Electronics,199.85,0.0,0,18,152,2,0,Monday,4.8,0.0,0
2023-02-14,STORE_01,P001,Electronics,199.85,0.0,0,21,131,2,0,Tuesday,6.3,0.0,0
2023-02-15,STORE_01,P001,Electronics,199.85,0.0,0,27,104,2,0,Wednesday,7.8,0.0,0
2023-02-16,STORE_01,P001,Electronics,199.85,0.0,0,18,86,2,0,Thursday,12.3,0.0,0
2023-02-17,STORE_01,P001,Electronics,139.9,0.3,1,25,61,2,0,Friday,7.0,0.0,0
2023-02-18,STORE_01,P001,Electronics,199.85,0.0,0,21,237,2,0,Saturday,8.5,23.17,0
2023-02-19,STORE_01,P001,Electronics,199.85,0.0,0,27,210,2,0,Sunday,8.8,0.0,0
2023-02-20,STORE_01,P001,Electronics,199.85,,0,26,184,2,0,Monday,9.1,6.42,0
2023-02-21,STORE_01,P001,Electronics,199.85,0.0,0,15,169,2,0,Tuesday,13.6,0.0,0
2023-02-22,STORE_01,P001,Electronics,199.85,0.0,0,24,145,2,0,Wednesday,5.6,3.42,0
2023-02-23,STORE_01,P001,Electronics,199.85,0.0,0,20,125,2,0,Thursday,3.2,0.0,0
2023-02-24,STORE_01,P001,Electronics,179.87,0.1,1,28,97,2,0,Friday,12.9,0.0,0
2023-02-25,STORE_01,P001,Electronics,199.85,0.0,0,32,65,2,0,Saturday,5.4,0.0,0
2023-02-26,STORE_01,P001,Electronics,159.88,0.2,1,29,233,2,0,Sunday,8.4,0.0,0
2023-02-27,STORE_01,P001,Electronics,179.87,0.1,1,28,205,2,0,Monday,13.2,0.0,0
2023-02-28,STORE_01,P001,Electronics,199.85,0.0,0,16,189,2,0,Tuesday,10.8,6.15,0
2023-03-01,STORE_01,P001,Electronics,199.85,,0,22,167,2,0,Wednesday,8.1,0.0,0
2023-03-02,STORE_01,P001,Electronics,199.85,0.0,0,15,152,2,0,Thursday,7.2,0.0,0
2023-03-03,STORE_01,P001,Electronics,199.85,0.0,0,19,133,2,0,Friday,5.9,0.0,0
2023-03-04,STORE_01,P001,Electronics,199.85,0.0,0,24,109,2,0,Saturday,12.3,0.0,0
2023-03-05,STORE_01,P001,Electronics,199.85,0.0,0,35,74,2,0,Sunday,16.2,0.0,0
2023-03-06,STORE_01,P001,Electronics,199.85,0.0,0,20,54,2,0,Monday,13.9,0.0,0
2023-03-07,STORE_01,P001,Electronics,199.85,0.0,0,23,228,2,0,Tuesday,12.1,0.0,0
2023-03-08,STORE_01,P001,Electronics,199.85,0.0,0,17,211,2,0,Wednesday,11.3,0.0,0
2023-03-09,STORE_01,P001,Electronics,199.85,,0,22,189,2,0,Thursday,12.6,0.0,0
2023-03-10,STORE_01,P001,Electronics,199.85,0.0,0,23,166,2,0,Friday,19.5,0.9,0
2023-03-11,STORE_01,P001,Electronics,199.85,0.0,0,29,137,2,0,Saturday,10.8,0.0,0
2023-03-12,STORE_01,P001,Electronics,199.85,0.0,0,23,114,2,0,Sunday,14.4,0.0,0
2023-03-13,STORE_01,P001,Electronics,199.85,0.0,0,19,95,2,0,Monday,14.5,7.83,0
2023-03-14,STORE_01,P001,Electronics,199.85,0.0,0,22,73,2,0,Tuesday,6.4,0.0,0
2023-03-15,STORE_01,P001,Electronics,199.85,0.0,0,23,50,2,0,Wednesday,17.8,0.0,0
2023-03-16,STORE_01,P001,Electronics,199.85,0.0,0,18,229,2,0,Thursday,13.6,0.87,0
2023-03-17,STORE_01,P001,Electronics,199.85,0.0,0,24,205,2,0,Friday,19.5,0.0,0
2023-03-18,STORE_01,P001,Electronics,199.85,0.0,0,24,181,2,0,Saturday,17.8,3.35,0
2023-03-19,STORE_01,P001,Electronics,199.85,0.0,0,29,152,2,0,Sunday,15.5,0.0,0
2023-03-20,STORE_01,P001,Electronics,159.88,0.2,1,28,124,2,0,Monday,12.9,0.0,0
2023-03-21,STORE_01,P001,Electronics,199.85,0.0,0,21,103,2,0,Tuesday,18.8,16.32,0
2023-03-22,STORE_01,P001,Electronics,199.85,0.0,0,23,80,2,0,Wednesday,17.7,3.4,0
2023-03-23,STORE_01,P001,Electronics,199.85,0.0,0,19,61,2,0,Thursday,8.5,0.0,0
2023-03-24,STORE_01,P001,Electronics,199.85,0.0,0,20,238,2,0,Friday,14.9,0.0,0
2023-03-25,STORE_01,P001,Electronics,199.85,0.0,0,27,211,2,0,Saturday,12.6,1.84,0
2023-03-26,STORE_01,P001,Electronics,199.85,0.0,0,36,175,2,0,Sunday,9.9,0.0,0
2023-03-27,STORE_01,P001,Electronics,199.85,0.0,0,23,152,2,0,Monday,12.7,0.0,0
2023-03-28,STORE_01,P001,Electronics,199.85,0.0,0,16,136,2,0,Tuesday,17.0,0.0,0
2023-03-29,STORE_01,P001,Electronics,199.85,,0,15,121,2,0,Wednesday,16.5,4.05,0
2023-03-30,STORE_01,P001,Electronics,199.85,0.0,0,24,97,2,0,Thursday,18.2,0.0,0
2023-03-31,STORE_01,P001,Electronics,199.85,0.0,0,18,79,2,0,Friday,13.7,0.0,0
2023-04-01,STORE_01,P001,Electronics,199.85,0.0,0,31,48,2,0,Saturday,16.1,5.35,1
2023-04-02,STORE_01,P001,Electronics,199.85,0.0,0,20,225,2,0,Sunday,19.1,0.0,0
2023-04-03,STORE_01,P001,Electronics,199.85,0.0,0,25,200,2,0,Monday,13.3,0.0,0
2023-04-04,STORE_01,P001,Electronics,199.85,0.0,0,22,178,2,0,Tuesday,20.1,7.28,0
2023-04-05,STORE_01,P001,Electronics,199.85,0.0,0,12,166,2,0,Wednesday,16.8,0.0,0
2023-04-06,STORE_01,P001,Electronics,199.85,0.0,0,17,149,2,0,Thursday,19.0,0.0,0
2023-04-07,STORE_01,P001,Electronics,199.85,0.0,0,21,128,2,0,Friday,16.7,0.0,0
2023-04-08,STORE_01,P001,Electronics,179.87,0.1,1,35,93,2,0,Saturday,21.6,0.9,0
2023-04-09,STORE_01,P001,Electronics,199.85,0.0,0,29,64,2,0,Sunday,18.8,26.18,0
2023-04-10,STORE_01,P001,Electronics,199.85,0.0,0,23,238,2,0,Monday,18.0,0.0,0
2023-04-11,STORE_01,P001,Electronics,139.9,0.3,1,28,210,2,0,Tuesday,19.4,0.0,0
2023-04-12,STORE_01,P001,Electronics,199.85,0.0,0,24,186,2,0,Wednesday,20.9,0.0,0
2023-04-13,STORE_01,P001,Electronics,199.85,0.0,0,19,167,2,0,Thursday,24.8,0.0,0
